rec_isbn                , dc.source.recensionisbn           , 11 , str  , handle              ,       
rec_isbn                , dc.source.recensionisbn.de        , 11 , str  , handle              ,       
rec_series              , dc.source.recensionseries         , 11 , str  , handle              ,       
rec_series              , dc.source.recensionseries.de      , 11 , str  , handle              ,       
reviewed                , dc.description.review             , 11 , str  , handle              ,       
reviewed                , dc.description.review.de          , 11 , str  , handle              ,       
reviewed                , dc.description.review.en          , 11 , str  , handle              ,       
reviewed                , review                            , 11 , str  , handle              ,       
abstract                , dc.description.abstract           , 11 , str  , handle              ,       
abstract                , dc.description.abstract.ro        , 11 , str  , handle              ,       
abstract                , dc.description.abstract.pl        , 11 , str  , handle              ,       
abstract                , dc.description.abstract.fr        , 11 , str  , handle              ,       
abstract                , dc.description.abstract.sq        , 11 , str  , handle              ,       
abstract                , dc.description.abstract.pt        , 11 , str  , handle              ,       
abstract                , dc.description.abstract.de        , 11 , str  , handle              ,       
abstract                , dc.description.abstract.en        , 11 , str  , handle              ,       
abstract                , dc.description.abstract.es        , 11 , str  , handle              ,       
abstract                , dc.description.abstract.nl        , 11 , str  , handle              ,       
abstract                , dc.description.abstract.nb        , 11 , str  , handle              ,       
toc                     , dc.description.tableofcontents    , 11 , str  , handle              ,       
misc                    , dc.description.misc               , 11 , str  , handle              ,       
misc                    , dc.description.misc.de            , 11 , str  , handle              ,       
subject_ddc             , dc.subject.ddc                    , nn , str  , handle              ,       
subject_ddc_en          , dc.subject.ddc.en                 , nn , str  , handle              ,       
subject_ddc_de          , dc.subject.ddc.de                 , nn , str  , handle              ,       
subject_thesoz          , thesoz                            , nn , str  , handle              ,       
subject_thesoz          , dc.subject.thesoz                 , nn , str  , handle              ,       
subject_thesoz_en       , dc.subject.thesoz.en              , nn , str  , handle              ,       
subject_thesoz_de       , dc.subject.thesoz.de              , nn , str  , handle              ,       
subject_classhort       , dc.subject.classhort              , nn , str  , handle              ,       
subject_classhort       , dc.subject.classhort.de           , nn , str  , handle              ,       
subject_classoz         , classoz                           , nn , str  , handle              ,       
subject_classoz         , dc.subject.classoz                , nn , str  , handle              ,       
subject_classoz_en      , dc.subject.classoz.en             , nn , str  , handle              ,       
subject_classoz_de      , dc.subject.classoz.de             , nn , str  , handle              ,       
subject_method          , dc.subject.methods                , nn , str  , handle              ,       
subject_method_de       , dc.subject.methods.de             , nn , str  , handle              ,       
subject_method_en       , dc.subject.methods.en             , nn , str  , handle              ,       
subject_other           , dc.subject.other                  , nn , str  , handle              ,       
subject_other_de        , dc.subject.other.de               , nn , str  , handle              ,       
subject_other_en        , dc.subject.other.en               , nn , str  , handle              ,       
licence                 , dc.rights.licence                 , 11 , str  , handle              ,       
licence                 , dc.rights.licence.de              , 11 , str  , handle              ,       
licence                 , dc.rights.licence.en              , 11 , str  , handle              ,       
copyright               , dc.rights.copyright               , 11 , str  , handle              ,       
copyright               , dc.rights.copyright.de            , 11 , str  , handle              ,       
sherpa                  , dc.rights.sherpa                  , 11 , str  , handle              ,       
sherpa_de               , dc.rights.sherpa.de               , 11 , str  , handle              ,       
sherpa_en               , dc.rights.sherpa.en               , 11 , str  , handle              ,       
doctype                 , dc.type.de                        , 11 , str  , handle              ,       
doctype                 , dc.type.document                  , 11 , str  , handle              ,       
doctype                 , dc.type.stock                     , 11 , str  , handle              ,       
doctype                 , documentType                      , 11 , str  , handle              ,       
doctype_de              , dc.type.document.de               , 11 , str  , handle              ,       
doctype_en              , dc.type.document.en               , 11 , str  , handle              ,       
doctype_de              , dc.type.stock.de                  , 11 , str  , handle              ,       
