rec_isbn                , dc.source.recensionisbn.de        , 11 , str  , id                  ,       
rec_series              , dc.source.recensionseries         , 11 , str  , id                  ,       
rec_series              , dc.source.recensionseries.de      , 11 , str  , id                  ,       
reviewed                , dc.description.review             , 11 , str  , id                  ,       
reviewed                , dc.description.review.de          , 11 , str  , id                  ,       
reviewed                , dc.description.review.en          , 11 , str  , id                  ,       
reviewed                , review                            , 11 , str  , id                  ,       
abstract                , abstract                          , 11 , str  , id                  ,       
abstract                , dc.description.abstract.ro        , 11 , str  , id                  ,       
abstract                , dc.description.abstract.pl        , 11 , str  , id                  ,       
abstract                , dc.description.abstract.fr        , 11 , str  , id                  ,       
abstract                , dc.description.abstract.sq        , 11 , str  , id                  ,       
abstract                , dc.description.abstract.pt        , 11 , str  , id                  ,       
abstract                , dc.description.abstract.de        , 11 , str  , id                  ,       
abstract                , dc.description.abstract.en        , 11 , str  , id                  ,       
abstract                , dc.description.abstract.es        , 11 , str  , id                  ,       
abstract                , dc.description.abstract.nl        , 11 , str  , id                  ,       
abstract                , dc.description.abstract.nb        , 11 , str  , id                  ,       
toc                     , dc.description.tableofcontents    , 11 , str  , id                  ,       
misc                    , dc.description.misc               , 11 , str  , id                  ,       
misc                    , dc.description.misc.de            , 11 , str  , id                  ,       
subject_ddc             , dc.subject.ddc                    , nn , str  , id                  ,       
subject_ddc_en          , dc.subject.ddc.en                 , nn , str  , id                  ,       
subject_ddc_de          , dc.subject.ddc.de                 , nn , str  , id                  ,       
subject_thesoz          , thesoz                            , nn , str  , id                  ,       
subject_thesoz          , dc.subject.thesoz                 , nn , str  , id                  ,       
subject_thesoz_en       , dc.subject.thesoz.en              , nn , str  , id                  ,       
subject_thesoz_de       , dc.subject.thesoz.de              , nn , str  , id                  ,       
subject_classhort       , dc.subject.classhort              , nn , str  , id                  ,       
subject_classhort       , dc.subject.classhort.de           , nn , str  , id                  ,       
subject_classoz         , classoz                           , nn , str  , id                  ,       
subject_classoz         , dc.subject.classoz                , nn , str  , id                  ,       
subject_classoz_en      , dc.subject.classoz.en             , nn , str  , id                  ,       
subject_classoz_de      , dc.subject.classoz.de             , nn , str  , id                  ,       
subject_method          , dc.subject.methods                , nn , str  , id                  ,       
subject_method_de       , dc.subject.methods.de             , nn , str  , id                  ,       
subject_method_en       , dc.subject.methods.en             , nn , str  , id                  ,       
subject_other           , dc.subject.other                  , nn , str  , id                  ,       
subject_other_de        , topic                             , nn , str  , id                  ,       
subject_other_en        , dc.subject.other.en               , nn , str  , id                  ,       
licence                 , dc.rights.licence                 , 11 , str  , id                  ,       
licence                 , dc.rights.licence.de              , 11 , str  , id                  ,       
licence                 , dc.rights.licence.en              , 11 , str  , id                  ,       
copyright               , dc.rights.copyright               , 11 , str  , id                  ,       
copyright               , dc.rights.copyright.de            , 11 , str  , id                  ,       
sherpa                  , dc.rights.sherpa                  , 11 , str  , id                  ,       
sherpa_de               , dc.rights.sherpa.de               , 11 , str  , id                  ,       
sherpa_en               , dc.rights.sherpa.en               , 11 , str  , id                  ,       
doctype                 , dc.type.de                        , 11 , str  , id                  ,       
doctype                 , dc.type.document                  , 11 , str  , id                  ,       
doctype                 , dc.type.stock                     , 11 , str  , id                  ,       
doctype                 , documentType                      , 11 , str  , id                  ,       
doctype_de              , document_type                     , 11 , str  , id                  ,       
doctype_en              , subtype                           , 11 , str  , id                  ,       
doctype_de              , dc.type.stock.de                  , 11 , str  , id                  ,       
